"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Rother",574,525,591,618,615,-0.485436893203882,1.73978273092248,37.363304981774
"Lewes",559,527,539,569,602,5.79964850615113,1.86996825981354,58.8465298142717
"Rochford",619,432,544,555,594,7.02702702702702,-1.02535584760143,37.1018113678951
"Wealden",585,620,570,562,584,3.91459074733096,-0.0427624643415614,294.949494949495
"Cannock Chase",1045,507,461,478,566,18.4100418410042,-14.2122978668764,73.0322580645161
"Craven",394,462,447,462,552.97,19.6904761904762,8.8432089089191,32.6614629939724
"Vale of White Horse",536,478,308,205,549,167.80487804878,0.60090524634564,113.429752066116
"Runnymede",498,492,528,516,534,3.48837209302326,1.76020625553459,51.0516252390057
"Babergh",283,269,316,353,522,47.8753541076487,16.5389274678547,320.245398773006
"Sedgemoor",436,453,455,479,520,8.55949895615866,4.50310961512841,39.8467432950192
"Three Rivers",441,464,457,332,514.68,55.0240963855422,3.93807656914871,105.036734693878
"Newcastle-under-Lyme",530,481,479,467,507,8.56531049250535,-1.10302168305331,52.3760330578512
"Hinckley & Bosworth",508,549,487,484,489,1.03305785123966,-0.94844754572283,73.5338345864662
"Braintree",478,456,476,420,477,13.5714285714286,-0.0523423366948217,40.7692307692308
"High Peak",453,515,525,530,473,-10.7547169811321,1.08593551305285,38.8660640920296
"South Bucks",467,393,406,391,460,17.6470588235294,-0.376857308371303,38.4294068504595
"Staffordshire Moorlands",560,519,399,439,453,3.18906605922551,-5.16305757056084,63.0041724617524
"Basildon",540,414,477,695,449,-35.3956834532374,-4.50884522557581,76.4906303236797
"Hambleton",391,336,316,415,449,8.19277108433735,3.51836306926963,52.7614571092832
"Mid Devon",307,356,362.021,385.5,442,14.6562905317769,9.53955529645087,58.1578947368421
"Middlesborough",665,702,371,414,442,6.7632850241546,-9.70781639805415,38.9770723104056
"Uttlesford",363,370,369,424,440,3.77358490566037,4.92682045722916,41.0065237651445
"Forest Heath",426,487,492,564,434,-23.0496453900709,0.466213103043689,67.7067082683307
"Stockton-on-Tees",615,674,732,460,433,-5.8695652173913,-8.3983713964211,56.3802083333333
"Ribble Valley",233,240,433,454,425,-6.3876651982379,16.2139472085954,68
"Wyre",586,523,436,392,424,8.16326530612245,-7.77109336594727,74.2556917688266
"Barrow-in-Furness",546,377,388,392,422,7.65306122448979,-6.23733298398106,56.4171122994652
"Gedling",465,417,464,417,421,0.959232613908867,-2.45448954347265,130.340557275542
"Gosport",376,397,427,403,418,3.72208436724566,2.68265967941299,42.6966292134831
"Amber Valley",392,404,406,405,417,2.96296296296296,1.55761587181384,53.8759689922481
"Adur",533,772,372,455,416,-8.57142857142857,-6.00786157349262,59.5988538681948
"Copeland",191,180.562,635.959,NA,414,NA,21.3365782503713,77.8195488721804
"North Dorset",239,244,242,330.034,409.337,24.028736433216,14.3986173096571,66.4742287461655
"Chorley",391,380,403.45808,447.02335,407,-8.95330188009194,1.00768391890038,71.2784588441331
"Boston",293,344,190,342,406,18.7134502923977,8.49621891181578,40.1185770750988
"East Dorset",374,349,383,372,380,2.15053763440861,0.398679001407021,52.924791086351
"South Norfolk",325,302,344,278,369,32.7338129496403,3.22520434891649,93.4177215189873
"Broxtowe",270,314,340,315,359,13.968253968254,7.38229241202608,104.360465116279
"West Oxfordshire",512,473,560,372,356,-4.3010752688172,-8.68439322832619,104.093567251462
"Ryedale",270,247,263,189,346,83.0687830687831,6.39668176509194,36.4210526315789
"Rugby",903,373,306,304,336,10.5263157894737,-21.8978693420968,58.6387434554974
"Rushcliffe",221,227,301,356,331,-7.02247191011236,10.6264382587833,38.6682242990654
"Castle Point",447,479,395,311,325,4.50160771704179,-7.65913053739888,31.1601150527325
"Fylde",302,308,331,335,325,-2.98507462686567,1.85189285441312,43.046357615894
"Erewash",368,327,315,313,317,1.27795527156549,-3.66083876002831,65.2263374485597
"West Lancashire",280,266,371,344,316,-8.13953488372093,3.0699968608801,45.9970887918486
"Fenland",276,313,298,327,311,-4.89296636085626,3.02979287350107,6220
